,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price,Category
0,Luis R. Saez,2022,5,Notebook computer,Great value and product.,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
1,Amazon Customer,2021,4,Fair enough,Well enough. For that price they could've put a better screen but it's well enough. Up to the date it is working wast enough.,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
2,Matt,2021,1,Not as advertised!,"This laptop has a picture of a stylus pen in the pictures but is not compatible with ANY stylus pen. It clearly states that it doesn't come with a stylus pen, which is fine. For the price I just bought one separately. Bought laptop because specs were good. Great amount of memory, HD space and Ghz.  Laptop performs functions well and quick. The battery doesn't last less than 6 hrs which is a little less than we would like. The main issue is that the main attraction to these touchscreen 2 in 1's are using stylus pens for art, or simple note taking. It is a main selling point and product description function.  However, the Dell Inspiron 5406 model from Dell comes with a Full FHD screen that is compatible with the Dell Active Pn350m, however this pen only works with FHD 1920x1080 and this laptop has a 1366 x 768 pixels screen.  Not as advertised, I am reaching out to return. Will update later.Not happy that after hours of searching I find that NO STYLUS will work with this screen.","2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
3,Amazon Customer,2020,5,Light weight,I haven't used it much yet.  I purchased it because I'm getting my Real Estate license and wanted something lighter to carry with me.  The fact that it will make into a tablet is a plus if I have to use it in the car.Looking forward to using it more,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
4,Robert Hutson,2021,3,Slower than I wanted but as Inexpensive as I needed,It's OK... It's my desktop now. Does everything it should.,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
5,buyer,2021,2,Not too happy:(,The keyboard illumination is very poor. I have the control turned up to max and still some keys seem to be over sprayed making it difficult to distinguish. The laptop at times is also unresponsive. :(  I’m returning it,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
6,Amazon Customer,2022,1,It just doesnt work,"I can't sign in to one of the accounts on the device, and I can't remove the account without signing into it. I can't even factory reset it because that also requires the pin from the account that I can't sign in to. If I try to reset the pin it doesn't let me, and It randomly black screens until it turns off and you cant even turn it off manually because the power button doesn't work and the battery is installed internally so you just have to wait for it to die or take the whole thing apart and unplug the battery put it back in and reassemble it. This thing just plain sucks. Wouldn't recommend buying it.","2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
7,Estrella Ocampo ,2021,5,Great overall utility laptop,This laptop works and runs very smoothly. The touchscreen is very responsive. I would definitely recommend this laptop!,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
8,Google Fan,2021,2,Very disappointed with the display color resolution and the very poor battery life.,Screen display is very poor. Battery does not last 2 hours. Touchscreen not sensitive enough.,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
9,Cristin,2021,5,Wonderful,"Great product, much bigger than my old one.","2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
