,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price
0,SmartOne,"August 25, 2022",4.0 out of 5 stars,Good for small business use,"I bought this for my private practice and it works great. Does not have a bunch of bell and whistles but it meets my needs since this is what I leave at the office. Analogue:  Better than a flip phone or Google phone but it's not a new  iPhone. I am very happy with it. It runs faster than I expected, which was my biggest concern.","HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
1,Lucille Seden,"August 2, 2022",5.0 out of 5 stars,Laptop is working well.,"I use this HP Laptop for personal use as well as for my Prayer Group duties. I maintain membership lists as well as other related lists. I create ads for our events and send them via email to our rectory for insertion in the church's bulletin. Our other HP Laptop has been in use for these purposes since 2016. Since my husband has been using the other laptop more frequently, (writing novels), I decided to get one for myself. This way I have access whenever I want it. I fully expect this Laptop to serve me as well as the older one did.","HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
2,Lance M.,"July 23, 2022",5.0 out of 5 stars,Good midrange laptop!,I bought this on a Amazon treasure truck 🚛 deal. I read many reviews before the purchase and many complain of issues connecting to wireless. I have had no such issues nor any other issues. Matter of fact this is the best PC I have ever used personally. I find I never have to wait on it to do anything. It boots up faster than any previous PC I've had. Now it only comes with a free trial of anti virus software so I simply use avast one free edition but you also have the option to use windows defender at no charge at it has improved alot over the years not as good as avast but almost. Overall I find the unit to be an excellent value and would recommend it!,"HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
3,Jamie & Benjamin Lee,"August 23, 2022",4.0 out of 5 stars,Works As Expected,"Nice laptop, works as expected. It forgets the internet easily, if you leave your location and come back- so keep your eye out for that. Other than that there is not much to complain about.","HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
4,kevin sweet,"August 27, 2022",5.0 out of 5 stars,Like New!,HP laptop was slightly used from the Amazon Warehouse. Laptop looks new! No scratches or marks.Runs smoothly after three months. I saved hundreds by buying from the Warehouse!,"HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
5,Kris,"August 26, 2022",5.0 out of 5 stars,Works great! No issues!,I just needed a computer for home use and this one fit the bill. I bought it refurbished and I couldn't be happier. Perfect condition and no issues.,"HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
6,maxipr33,"July 27, 2022",4.0 out of 5 stars,Is fast,"I was expecting something more mettalic heavy, but feels like a Asus talking about the body. Otherwise performance is good. Feels smooth and responsive. I've got the issue with the WiFi driver and Windows 11 but fixed looking and searching on the web. HP support didn't help me at all.I didn't like that the keyboard is not backlight.Also it gets very overheated fast.","HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
7,"Kathy, Florissant, CO","June 26, 2022",4.0 out of 5 stars,"HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7,","I had a heck of a time when using this because of the wifi dropping out or not initializing.  I believe that the ""bloatware"" was interfering with it.  I say this because I updated windows  several times to no avail.  It does work fine now. The swiching of the wifi driver to disable letting windows decide when to optimize battery usage DID NOT SOLVE THE PROBLEM.  The battery does charge quickly but it does not last super long (may explain in part the quick charging).  I am now completely satisfied.","HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
8,laphamazon,"May 18, 2022",5.0 out of 5 stars,"...that pesky known issue of ""no WI-FI""...","I read the reviews here before I purchased this laptop 8 days ago, including the 'no wifi' reviews; I actually thought that 'I wont get one of those', ...but I did..., and since no one had said that HP has a fix, I was ready to return my laptop to Amazon for a replacement because the laptop itself is great as far as features and performance[so far]. Well, I called Amazon and they got HP Support in on a 3-way call. HP used the HP Support Assistant app on the laptop to diagnose and temp-fix the issue, once I was on wifi,  they remotely updated all drivers associated with the wifi issue, and the laptop in general, for a permanent wifi fix, this, all via the wifi connection; and, they are waiting for my update to ensure that the issue is resolved permanently, so for now, I am impressed with the HP laptop and the HP support. I just wish I didnt have a need for the support in the first place. Also, after watching what the tech did remotely, a knowledgeable  person who is AWARE of the HP Support Assistant app could troubleshoot and fix the wifi issue themselves as long as they then also go to the HP site and update the laptop wifi and any other recommended out of date drivers; But again, we shouldnt have to do that... last note, I also have a 3 year old HP Envy laptop that I can now hand off to a family member, it has been bulletproof since day one. I hope to do and say the same about this one in 3 years, minus this incident.","HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
9,Karl L. Wuensch,"July 13, 2022",4.0 out of 5 stars,Keyboard hard to see for old folks,"Excellent performance.  My only gripe is that the keys are hard to read for old folks like me.  That said, I bought it for my children to use, so might not be a problem.","HP 15.6-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$519.00
